91;39;600;0;1,100000
98;38;600;0;1,100000
89;43;600;0;1,100000
86;40;600;0;1,100000
90;33;600;0;1,100000
91;34;600;0;1,100000
95;36;600;0;1,100000
96;41;600;0;1,100000
94;46;600;0;1,100000
88;32;600;0;1,100000
93;31;600;0;1,100000
91;27;600;0;1,100000
94;35;600;0;1,100000
86;46;600;0;1,100000
81;49;600;0;1,100000
81;38;600;0;1,100000
85;31;600;0;1,100000
86;32;600;0;1,100000
85;30;600;0;1,100000
89;55;600;0;1,100000
100;29;600;0;1,100000
100;45;600;0;1,100000
102;46;600;0;1,100000
102;39;600;0;1,100000
102;37;600;0;1,100000
105;35;600;0;1,100000
92;53;600;0;1,100000
106;39;600;0;1,100000
106;38;600;0;1,100000
105;37;600;0;1,100000
105;40;600;0;1,100000
